,pdf_name,page_number,paddle_max_probabilities,microsoft_max_probabilities,table_found
0,Annual_Bulletin_Industry_Energy_2017_AE,67,0.0,0.5172521471977234,False
1,Health_6_2020_AE,14,0.0,0.5312711596488953,False
2,6_wholesale_retail_trade_2016_AE,1,0.0,0.6784179210662842,False
3,vital_marriage_divorce_qatar_2019_AE,23,0.88616467,0.3556920886039734,False
4,vital_marriage_divorce_qatar_2019_AE,112,0.4851782,0.313524454832077,False
5,Population_Social_Statistics_Q1_2022_AE,44,0.40031746,0.5083709359169006,False
6,Building_Permit_Completed_Building_QSA_AnBu_AE_2021,5,0.0,0.3019884526729584,False
7,3-Electricity_2018_AE,2,0.0,0.7823679447174072,False
8,Eco_Agriculture_Chapter_1_AE_2015,3,0.0,0.0,False
9,Transport_Communications_AnBu_AE_2015,17,0.0,0.7054750323295593,False
10,3_Manufacturing_Statistics_2020_AE,14,0.33067515,0.4898933470249176,False
11,Hotels_and_Resturants_QSA_AnBu_AE_2016,24,0.0,0.859200119972229,False
12,11_Banks_and_Insur_2019_AE,14,0.0,0.859200119972229,False
13,Building_Permit_Completed_Building_QSA_AnBu_AE_2022,42,0.0,0.3585070669651031,False
14,Environment_11_2017_AE,5,0.9844786,0.6854016184806824,False
15,The_Annual_Bulletin_of_Economic_Statistics_2020_AE,62,0.0,0.0,False
16,The_Annual_Bulletin_of_Economic_Statistics_2020_AE,76,0.9825682,0.0,False
17,Hotels_and_Resturants_QSA_AnBu_AE_2016,18,0.0,0.454196959733963,False
18,7_Security_2021_AE,14,0.9851379,0.8994189500808716,False
19,The_Annual_Bulletin_of_Economic_Statistics_2018_AE,26,0.0,0.5040398240089417,False
20,Hotels_and_Resturants_AE_2021,19,0.0,0.859200119972229,False
21,physical_Climate_Features_2017_AE,4,0.9009912,0.3487108647823334,False
22,Pop_Population_Chapter_AnAb_AE_2014,13,0.71163607,0.0,False
23,Environment_11_2014_AE,1,0.32308385,0.6500182151794434,False
24,Hotels_and_Resturants_AE_2021,18,0.0,0.7121965289115906,False
25,Building_Permit_Completed_Building_QSA_AnBu_AE_2021,30,0.0,0.8569576144218445,False
26,Population_Social_Statistics_Q1_2023_AE,41,0.44698605,0.4685297608375549,False
27,vital_statistics_3_2020_AE,12,0.45126128,0.4945380091667175,False
28,Eco_Electricity_Chapter_AnAb_AE_2012,10,0.8945694,0.8444226980209351,False
29,8_Hotels_and_Resturants_AE_2018,1,0.0,0.664806604385376,False
30,Health_6_2012_AE,22,0.9632323,0.7847427725791931,False
31,Hotels_and_Resturants_QSA_AnBu_AE_2016,19,0.0,0.7570628523826599,False
32,11_Banks_and_Insur_2019_AE,15,0.0,0.6933885812759399,False
33,Building_Permit_Completed_Building_QSA_AnBu_AE_2022,43,0.0,0.0,False
34,3_Manufacturing_Statistics_2020_AE,15,0.74391705,0.7814940810203552,False
35,Transport_Communications_AnBu_AE_2015,16,0.0,0.6205887198448181,False
36,9_Transport_and_Communication_AE_2014,14,0.95943075,0.0,False
37,1_Agricuitural_2020_AE,1,0.0,0.6907333731651306,False
38,3-Electricity_2018_AE,3,0.30437618,0.6250559091567993,False
39,Eco_Agriculture_Chapter_1_AE_2015,2,0.0,0.7873715758323669,False
40,10_Transport_and_Communication_AE_2020,8,0.3431213,0.3023654520511627,False
41,Building_Permit_Completed_Building_QSA_AnBu_AE_2021,4,0.0,0.8569576144218445,False
42,10_Transport_and_Communication_AE_2017,8,0.0,0.0,False
43,Environment_11_2019_AE,23,0.9788789,0.0,False
44,Environment_11_2019_AE,21,0.98670036,0.7231898307800293,False
45,6_wholesale_retail_trade_2016_AE,2,0.0,0.3772274255752563,False
46,Education_Chapter_4_2018_AE,8,0.9598124,0.5837835073471069,False
47,1_Agricuitural_2016_AE,10,0.32921538,0.4468879997730255,False
48,Building_Permit_Completed_Building_QSA_AnBu_AE_2021,6,0.0,0.8569576144218445,False
49,Hotels_and_Resturants_QSA_AnBu_AE_2019,46,0.0,0.859200119972229,False
50,3-Electricity_2018_AE,11,0.9813542,0.3957372605800628,False
51,3-Electricity_2018_AE,1,0.0,0.6025900840759277,False
52,11_Banks_and_Insur_2019_AE,5,0.0,0.7873715758323669,False
53,Transport_Communications_AnBu_AE_2015,14,0.0,0.541266143321991,False
54,1_Agricuitural_2020_AE,3,0.46421802,0.778020441532135,False
55,3_Manufacturing_Statistics_2020_AE,17,0.40945414,0.7379557490348816,False
56,Education_Chapter_4_2021_AE,8,0.93108815,0.6569317579269409,False
57,7_Security_2021_AE,17,0.9536279,0.7329903244972229,False
58,The_Annual_Bulletin_of_Economic_Statistics_2018_AE,31,0.0,0.859200119972229,False
59,8_Hotels_and_Resturants_AE_2018,3,0.0,0.4336669147014618,False
60,The_Annual_Bulletin_of_Economic_Statistics_2018_AE,19,0.0,0.5696033835411072,False
61,Building_Permit_Completed_Building_QSA_AnBu_AE_2021,32,0.0,0.6246669888496399,False
62,Population_Social_Statistics_Q1_2023_AE,43,0.40156016,0.5771238803863525,False
63,Building_Permit_Completed_Building_QSA_AnBu_AE_2021,26,0.0,0.3700085580348968,False
64,physical_Climate_Features_2017_AE,7,0.31149766,0.0,False
65,Eco_Agriculture_Chapter_AnAb_AE_2013,17,0.7045295,0.5943905711174011,False
66,11_Banks_and_Insur_2020_AE,5,0.0,0.7873715758323669,False
67,10_Banks_Insur_2016_AE,21,0.0,0.0,False
68,Environment_11_2014_AE,2,0.34766525,0.411928117275238,False
69,Hotels_and_Resturants_AE_2021,33,0.0,0.5636346340179443,False
70,11_Banks_and_Insur_2020_AE,4,0.0,0.6856279969215393,False
